effect,n,spearman_rho,p,range_min,range_max,spread_sd
baseline_slope,7,0.482,0.2736,0.0368,0.0696,0.0116
implicit_maori_eta2,8,-0.366,0.3726,0.0201,0.2064,0.0593
implicit_kaumatua_eta2,8,0.146,0.7294,0.0161,0.1312,0.0413
implicit_eta2,8,-0.464,0.2473,0.0342,0.1448,0.0363
ga_eta2,8,0.708,0.0496,0.1,0.7529,0.2338
dg_eta2,8,0.561,0.1479,0.0711,0.6521,0.2014
asymmetry_eta2,8,0.317,0.444,0.0017,0.619,0.2183
