model,params_b,multimodal,baseline_slope,implicit_maori_eta2,implicit_kaumatua_eta2,implicit_eta2,ga_eta2,dg_eta2,asymmetry_eta2
Llama-1B,1,False,,0.2064,0.0843,0.1448,0.1,0.1244,0.0017
Llama-3B,3,False,0.0368,0.0808,0.0161,0.0638,0.1751,0.0711,0.175
Qwen-7B,7,False,0.0485,0.0326,0.0524,0.0426,0.6223,0.2184,0.619
Mistral-7B,7,False,0.0696,0.0433,0.1312,0.0924,0.598,0.6521,0.4731
QwenVL-7B,7,True,0.0556,0.0201,0.0585,0.041,0.4014,0.321,0.2532
Llama-8B,8,False,0.0672,0.0579,0.1008,0.0823,0.6465,0.1509,0.482
Llama-11B,11,True,0.0651,0.042,0.1067,0.0811,0.7529,0.2293,0.476
Qwen-14B,14,False,0.0571,0.0478,0.0214,0.0342,0.5328,0.5106,0.1112
