model,condition,bin,n_baseline,n_treatment,meandiff_engagement_score,meandiff_difficulty_delta
Llama-11B,direct_gaze_explicit,90-100%,100,100,0.0,0.0
Mistral-7B,gaze_aversion,0-10%,100,100,2.14,0.55
Mistral-7B,gaze_aversion,10-20%,100,100,2.04,0.414
Mistral-7B,gaze_aversion,20-30%,100,100,1.92,0.106
Mistral-7B,gaze_aversion,30-40%,100,100,0.15,0.054
Mistral-7B,gaze_aversion,40-50%,100,100,0.1,-0.18
Mistral-7B,gaze_aversion,50-60%,100,100,0.0,-0.18
Mistral-7B,gaze_aversion,60-70%,100,100,-0.39,-0.15
Mistral-7B,gaze_aversion,70-80%,100,100,-0.41,0.0
Mistral-7B,gaze_aversion,80-90%,100,100,-0.74,0.0
Mistral-7B,gaze_aversion,90-100%,100,100,-0.03,0.0
Mistral-7B,direct_gaze_explicit,0-10%,100,100,0.12,0.756
Mistral-7B,direct_gaze_explicit,10-20%,100,100,0.11,0.438
Mistral-7B,direct_gaze_explicit,20-30%,100,100,1.13,0.08
Mistral-7B,direct_gaze_explicit,30-40%,100,100,0.15,0.054
Mistral-7B,direct_gaze_explicit,40-50%,100,100,0.03,-0.18
Mistral-7B,direct_gaze_explicit,50-60%,100,100,0.0,-0.18
Mistral-7B,direct_gaze_explicit,60-70%,100,100,0.61,-0.15
Mistral-7B,direct_gaze_explicit,70-80%,100,100,0.14,0.0
Mistral-7B,direct_gaze_explicit,80-90%,100,100,0.4,0.0
Mistral-7B,direct_gaze_explicit,90-100%,100,100,0.37,0.0
Qwen-7B,gaze_aversion,0-10%,100,100,0.97,0.45
Qwen-7B,gaze_aversion,10-20%,100,100,0.9,0.354
Qwen-7B,gaze_aversion,20-30%,100,100,0.84,0.3615
Qwen-7B,gaze_aversion,30-40%,100,100,0.35,0.3018
Qwen-7B,gaze_aversion,40-50%,100,100,0.0,0.282
Qwen-7B,gaze_aversion,50-60%,100,100,-1.12,-0.1725
Qwen-7B,gaze_aversion,60-70%,100,100,-1.9,-0.2431
Qwen-7B,gaze_aversion,70-80%,100,100,-2.28,-0.2425
Qwen-7B,gaze_aversion,80-90%,100,100,-0.21,-0.045
Qwen-7B,gaze_aversion,90-100%,100,100,-0.9,-0.0135
Qwen-7B,direct_gaze_explicit,0-10%,100,100,-0.92,-0.082
Qwen-7B,direct_gaze_explicit,10-20%,100,100,-0.07,0.017
Qwen-7B,direct_gaze_explicit,20-30%,100,100,-0.14,0.0155
Qwen-7B,direct_gaze_explicit,30-40%,100,100,-0.51,0.0018
Qwen-7B,direct_gaze_explicit,40-50%,100,100,0.53,0.257
Qwen-7B,direct_gaze_explicit,50-60%,100,100,0.59,0.0515
Qwen-7B,direct_gaze_explicit,60-70%,100,100,0.1,-0.0056
Qwen-7B,direct_gaze_explicit,70-80%,100,100,0.69,0.0
Qwen-7B,direct_gaze_explicit,80-90%,100,100,1.04,-0.2025
Qwen-7B,direct_gaze_explicit,90-100%,100,100,1.13,-0.401
Qwen-14B,gaze_aversion,0-10%,100,100,2.79,0.4265
Qwen-14B,gaze_aversion,10-20%,100,100,1.77,0.7605
Qwen-14B,gaze_aversion,20-30%,100,100,2.06,0.7895
Qwen-14B,gaze_aversion,30-40%,100,100,0.95,0.136
Qwen-14B,gaze_aversion,40-50%,100,100,0.7,-0.001
Qwen-14B,gaze_aversion,50-60%,100,100,0.37,-0.0225
Qwen-14B,gaze_aversion,60-70%,100,100,0.0,0.0
Qwen-14B,gaze_aversion,70-80%,100,100,0.1,0.0
Qwen-14B,gaze_aversion,80-90%,100,100,0.47,0.0
Qwen-14B,gaze_aversion,90-100%,100,100,0.0,0.0
Qwen-14B,direct_gaze_explicit,0-10%,100,100,1.81,0.3835
Qwen-14B,direct_gaze_explicit,10-20%,100,100,2.04,0.856
Qwen-14B,direct_gaze_explicit,20-30%,100,100,2.16,0.7895
Qwen-14B,direct_gaze_explicit,30-40%,100,100,0.95,0.136
Qwen-14B,direct_gaze_explicit,40-50%,100,100,0.77,0.0
Qwen-14B,direct_gaze_explicit,50-60%,100,100,0.44,0.0
