model,condition,meandiff_engagement_score,d_engagement_score,meandiff_difficulty_delta,d_difficulty_delta
Llama-1B,gaze_aversion,0.0119,0.056,0.0411,0.1429
Llama-1B,direct_gaze_explicit,-0.005,-0.0206,0.0434,0.1509
Llama-3B,gaze_aversion,0.1713,0.1512,-0.1245,-0.4372
Llama-3B,direct_gaze_explicit,0.2941,0.2522,0.0377,0.1316
Llama-8B,gaze_aversion,1.6782,1.0138,0.0504,0.1656
Llama-8B,direct_gaze_explicit,0.6139,0.2912,-0.001,-0.0028
Llama-11B,gaze_aversion,1.8921,1.2308,0.0951,0.3421
Llama-11B,direct_gaze_explicit,0.8604,0.4279,-0.014,-0.0414
Mistral-7B,gaze_aversion,0.4733,0.2767,0.0608,0.33
Mistral-7B,direct_gaze_explicit,0.303,0.1455,0.081,0.421
Qwen-7B,gaze_aversion,-0.3396,-0.2743,0.1037,0.4361
Qwen-7B,direct_gaze_explicit,0.2614,0.1426,-0.0345,-0.1108
Qwen-14B,gaze_aversion,0.9119,0.6185,0.2088,0.635
Qwen-14B,direct_gaze_explicit,1.102,0.69,0.2139,0.6424
Qwen2.5-32B,gaze_aversion,1.5881,0.9993,0.0844,0.2419
Qwen2.5-32B,direct_gaze_explicit,0.2871,0.1277,0.0308,0.0696
QwenVL-7B,gaze_aversion,0.0356,0.0258,0.0985,0.3755
QwenVL-7B,direct_gaze_explicit,0.8168,0.5317,0.0349,0.1212
Qwen2.5-VL-32B,gaze_aversion,1.198,0.7187,0.2182,0.5604
Qwen2.5-VL-32B,direct_gaze_explicit,0.3485,0.1617,-0.0085,-0.0176
