model,condition,bin,n_baseline,n_treatment,meandiff_engagement_score,meandiff_difficulty_delta
Llama-1B,maori,0-10%,98,100,0.43,0.0195
Llama-1B,maori,10-20%,100,97,0.3093,-0.0061
Llama-1B,maori,20-30%,99,98,0.2347,-0.0183
Llama-1B,maori,30-40%,99,99,0.303,-0.0169
Llama-1B,maori,40-50%,100,97,0.4639,-0.1227
Llama-1B,maori,50-60%,99,99,0.596,-0.1094
Llama-1B,maori,60-70%,99,100,0.45,-0.1002
Llama-1B,maori,70-80%,97,99,0.1616,-0.0556
Llama-1B,maori,80-90%,93,100,0.51,-0.2897
Llama-1B,maori,90-100%,93,99,0.8283,0.0722
Llama-1B,kaumatua,0-10%,98,97,0.1856,0.0026
Llama-1B,kaumatua,10-20%,100,100,0.21,-0.0027
Llama-1B,kaumatua,20-30%,99,100,0.12,-0.0105
Llama-1B,kaumatua,30-40%,99,100,0.13,-0.0134
Llama-1B,kaumatua,40-50%,100,100,0.14,-0.0647
Llama-1B,kaumatua,50-60%,99,100,0.34,-0.0673
Llama-1B,kaumatua,60-70%,99,100,0.16,-0.0189
Llama-1B,kaumatua,70-80%,97,100,0.06,-0.0183
Llama-1B,kaumatua,80-90%,93,99,0.2323,-0.1298
Llama-1B,kaumatua,90-100%,93,98,0.3367,0.1277
Llama-3B,maori,0-10%,100,100,-0.43,-0.0625
Llama-3B,maori,10-20%,100,100,-0.1,-0.0355
Llama-3B,maori,20-30%,100,100,0.04,-0.1474
Llama-3B,maori,30-40%,100,100,0.18,-0.219
Llama-3B,maori,40-50%,100,100,0.92,-0.1617
Llama-3B,maori,50-60%,100,100,0.39,-0.1063
Llama-3B,maori,60-70%,100,100,0.11,-0.0606
Llama-3B,maori,70-80%,100,100,0.0,-0.0338
Llama-3B,maori,80-90%,100,100,0.04,-0.0583
Llama-3B,maori,90-100%,100,100,0.22,-0.204
Llama-3B,kaumatua,0-10%,100,100,-0.25,-0.0025
Llama-3B,kaumatua,10-20%,100,100,-0.02,0.034
Llama-3B,kaumatua,20-30%,100,100,0.0,-0.005
Llama-3B,kaumatua,30-40%,100,100,0.08,-0.069
Llama-3B,kaumatua,40-50%,100,100,0.68,-0.0195
Llama-3B,kaumatua,50-60%,100,100,0.26,-0.0748
Llama-3B,kaumatua,60-70%,100,100,0.11,-0.0582
Llama-3B,kaumatua,70-80%,100,100,0.0,-0.0319
Llama-3B,kaumatua,80-90%,100,100,0.02,-0.0451
Llama-3B,kaumatua,90-100%,100,100,0.08,-0.1295
Llama-8B,maori,0-10%,100,100,0.16,0.1075
Llama-8B,maori,10-20%,100,100,0.0,0.1815
Llama-8B,maori,20-30%,100,100,0.0,0.101
Llama-8B,maori,30-40%,100,100,0.78,0.0405
Llama-8B,maori,40-50%,100,100,0.21,-0.0235
Llama-8B,maori,50-60%,100,100,0.5,-0.05
Llama-8B,maori,60-70%,100,100,0.1,0.0
Llama-8B,maori,70-80%,100,100,0.0,0.0
Llama-8B,maori,80-90%,100,100,-0.04,0.0
Llama-8B,maori,90-100%,100,100,0.0,-0.015
Llama-8B,kaumatua,0-10%,100,100,0.09,0.1025
Llama-8B,kaumatua,10-20%,100,100,0.0,0.1965
Llama-8B,kaumatua,20-30%,100,100,0.0,0.1185
Llama-8B,kaumatua,30-40%,100,100,0.78,0.079
Llama-8B,kaumatua,40-50%,100,100,0.33,0.1615
Llama-8B,kaumatua,50-60%,100,100,0.78,0.03
Llama-8B,kaumatua,60-70%,100,100,0.52,0.0
Llama-8B,kaumatua,70-80%,100,100,0.0,0.0
Llama-8B,kaumatua,80-90%,100,100,0.42,0.0
Llama-8B,kaumatua,90-100%,100,100,0.0,-0.0125
Llama-11B,maori,0-10%,100,100,0.19,0.096
Llama-11B,maori,10-20%,100,100,0.0,0.107
Llama-11B,maori,20-30%,100,100,0.2,0.0665
Llama-11B,maori,30-40%,100,100,0.78,0.024
Llama-11B,maori,40-50%,100,100,0.25,-0.0475
Llama-11B,maori,50-60%,100,100,0.55,-0.05
Llama-11B,maori,60-70%,100,100,0.16,0.0
Llama-11B,maori,70-80%,100,100,0.0,0.0
Llama-11B,maori,80-90%,100,100,-0.02,0.0
