model,condition,bin,n_baseline,n_treatment,meandiff_engagement_score,meandiff_difficulty_delta
Llama-11B,maori,90-100%,100,100,0.0,0.0
Llama-11B,kaumatua,0-10%,100,100,0.11,0.0815
Llama-11B,kaumatua,10-20%,100,100,0.0,0.1115
Llama-11B,kaumatua,20-30%,100,100,0.2,0.071
Llama-11B,kaumatua,30-40%,100,100,0.98,0.0325
Llama-11B,kaumatua,40-50%,100,100,0.43,0.1125
Llama-11B,kaumatua,50-60%,100,100,0.76,0.105
Llama-11B,kaumatua,60-70%,100,100,0.89,0.0
Llama-11B,kaumatua,70-80%,100,100,0.0,0.0
Llama-11B,kaumatua,80-90%,100,100,0.46,0.0
Llama-11B,kaumatua,90-100%,100,100,0.0,0.0
Mistral-7B,maori,0-10%,100,100,0.06,0.0
Mistral-7B,maori,10-20%,100,100,0.11,-0.084
Mistral-7B,maori,20-30%,100,100,0.5,-0.059
Mistral-7B,maori,30-40%,100,100,0.11,-0.066
Mistral-7B,maori,40-50%,100,100,0.0,-0.05
Mistral-7B,maori,50-60%,100,100,0.0,-0.058
Mistral-7B,maori,60-70%,100,100,-0.39,-0.15
Mistral-7B,maori,70-80%,100,100,0.0,0.0
Mistral-7B,maori,80-90%,100,100,-0.1,0.0
Mistral-7B,maori,90-100%,100,100,0.0,0.0
Mistral-7B,kaumatua,0-10%,100,100,0.15,0.0
Mistral-7B,kaumatua,10-20%,100,100,0.15,-0.066
Mistral-7B,kaumatua,20-30%,100,100,1.14,-0.029
Mistral-7B,kaumatua,30-40%,100,100,0.15,-0.084
Mistral-7B,kaumatua,40-50%,100,100,0.04,-0.19
Mistral-7B,kaumatua,50-60%,100,100,0.0,-0.18
Mistral-7B,kaumatua,60-70%,100,100,-0.22,-0.15
Mistral-7B,kaumatua,70-80%,100,100,0.0,0.0
Mistral-7B,kaumatua,80-90%,100,100,0.09,0.0
Mistral-7B,kaumatua,90-100%,100,100,0.0,0.0
Qwen-7B,maori,0-10%,100,100,-0.29,0.057
Qwen-7B,maori,10-20%,100,100,-0.1,0.054
Qwen-7B,maori,20-30%,100,100,-0.1,0.0565
Qwen-7B,maori,30-40%,100,100,-0.55,0.0023
Qwen-7B,maori,40-50%,100,100,0.08,0.0285
Qwen-7B,maori,50-60%,100,100,0.58,0.075
Qwen-7B,maori,60-70%,100,100,0.0,-0.0056
Qwen-7B,maori,70-80%,100,100,0.65,0.0
Qwen-7B,maori,80-90%,100,100,0.2,-0.0145
Qwen-7B,maori,90-100%,100,100,0.28,0.0035
Qwen-7B,kaumatua,0-10%,100,100,-0.3,0.098
Qwen-7B,kaumatua,10-20%,100,100,-0.1,0.054
Qwen-7B,kaumatua,20-30%,100,100,0.03,0.0635
Qwen-7B,kaumatua,30-40%,100,100,-0.3,0.0113
Qwen-7B,kaumatua,40-50%,100,100,1.01,0.047
Qwen-7B,kaumatua,50-60%,100,100,0.59,0.07
Qwen-7B,kaumatua,60-70%,100,100,0.0,-0.0056
Qwen-7B,kaumatua,70-80%,100,100,0.69,0.0
Qwen-7B,kaumatua,80-90%,100,100,0.3,-0.025
Qwen-7B,kaumatua,90-100%,100,100,0.28,-0.065
Qwen-14B,maori,0-10%,100,100,0.28,0.0575
Qwen-14B,maori,10-20%,100,100,0.14,0.0215
Qwen-14B,maori,20-30%,100,100,1.0,0.113
Qwen-14B,maori,30-40%,100,100,0.12,-0.054
Qwen-14B,maori,40-50%,100,100,0.0,0.0
Qwen-14B,maori,50-60%,100,100,0.03,0.0
Qwen-14B,maori,60-70%,100,100,0.0,0.0
Qwen-14B,maori,70-80%,100,100,0.1,0.0
Qwen-14B,maori,80-90%,100,100,0.61,0.0
Qwen-14B,maori,90-100%,100,100,0.11,0.0
Qwen-14B,kaumatua,0-10%,100,100,0.25,0.027
Qwen-14B,kaumatua,10-20%,100,100,0.14,0.021
Qwen-14B,kaumatua,20-30%,100,100,0.3,-0.0035
Qwen-14B,kaumatua,30-40%,100,100,0.12,0.065
Qwen-14B,kaumatua,40-50%,100,100,-0.03,0.0
Qwen-14B,kaumatua,50-60%,100,100,0.0,0.0
Qwen-14B,kaumatua,60-70%,100,100,0.0,0.0
Qwen-14B,kaumatua,70-80%,100,100,0.1,0.0
Qwen-14B,kaumatua,80-90%,100,100,0.53,0.0
Qwen-14B,kaumatua,90-100%,100,100,0.01,0.0
Qwen2.5-32B,maori,0-10%,100,100,0.0,-0.016
Qwen2.5-32B,maori,10-20%,100,100,0.07,-0.0005
Qwen2.5-32B,maori,20-30%,100,100,-0.01,0.0255
Qwen2.5-32B,maori,30-40%,100,100,0.0,-0.003
Qwen2.5-32B,maori,40-50%,100,100,0.0,0.01
Qwen2.5-32B,maori,50-60%,100,100,-0.11,0.0625
Qwen2.5-32B,maori,60-70%,100,100,0.0,0.0
Qwen2.5-32B,maori,70-80%,100,100,-0.26,0.0
Qwen2.5-32B,maori,80-90%,100,100,0.3,0.0
Qwen2.5-32B,maori,90-100%,100,100,0.33,-0.0255
Qwen2.5-32B,kaumatua,0-10%,100,100,-0.11,-0.022
Qwen2.5-32B,kaumatua,10-20%,100,100,-0.1,-0.025
Qwen2.5-32B,kaumatua,20-30%,100,100,-0.01,0.0255
Qwen2.5-32B,kaumatua,30-40%,100,100,0.0,0.005
Qwen2.5-32B,kaumatua,40-50%,100,100,0.0,0.11
Qwen2.5-32B,kaumatua,50-60%,100,100,-0.19,0.039
Qwen2.5-32B,kaumatua,60-70%,100,100,0.0,0.0
Qwen2.5-32B,kaumatua,70-80%,100,100,-0.26,0.0
Qwen2.5-32B,kaumatua,80-90%,100,100,0.54,0.0
Qwen2.5-32B,kaumatua,90-100%,100,100,0.57,0.0045
QwenVL-7B,maori,0-10%,100,100,-0.21,-0.0475
QwenVL-7B,maori,10-20%,100,100,-0.12,-0.0755
QwenVL-7B,maori,20-30%,100,100,-0.18,-0.108
QwenVL-7B,maori,30-40%,100,100,0.01,0.0065
QwenVL-7B,maori,40-50%,100,100,-0.06,0.01
QwenVL-7B,maori,50-60%,100,100,0.0,0.014
QwenVL-7B,maori,60-70%,100,100,0.0,0.006
QwenVL-7B,maori,70-80%,100,100,0.0,0.0115
QwenVL-7B,maori,80-90%,100,100,-0.08,0.0165
QwenVL-7B,maori,90-100%,100,100,-0.07,0.008
QwenVL-7B,kaumatua,0-10%,100,100,-0.34,-0.078
QwenVL-7B,kaumatua,10-20%,100,100,-0.12,-0.1125
QwenVL-7B,kaumatua,20-30%,100,100,-0.4,-0.223
QwenVL-7B,kaumatua,30-40%,100,100,0.0,-0.0115
QwenVL-7B,kaumatua,40-50%,100,100,0.06,0.0095
QwenVL-7B,kaumatua,50-60%,100,100,0.0,0.015
QwenVL-7B,kaumatua,60-70%,100,100,0.0,0.007
QwenVL-7B,kaumatua,70-80%,100,100,0.0,0.0155
QwenVL-7B,kaumatua,80-90%,100,100,-0.04,0.02
QwenVL-7B,kaumatua,90-100%,100,100,-0.03,0.0045
Qwen2.5-VL-32B,maori,0-10%,100,100,0.32,0.0095
Qwen2.5-VL-32B,maori,10-20%,100,100,0.26,0.072
Qwen2.5-VL-32B,maori,20-30%,100,100,0.29,0.076
Qwen2.5-VL-32B,maori,30-40%,100,100,0.76,0.276
Qwen2.5-VL-32B,maori,40-50%,100,100,0.03,0.0
Qwen2.5-VL-32B,maori,50-60%,100,100,0.08,-0.0225
Qwen2.5-VL-32B,maori,60-70%,100,100,0.0,-0.02
Qwen2.5-VL-32B,maori,70-80%,100,100,0.05,-0.0375
Qwen2.5-VL-32B,maori,80-90%,100,98,0.108,-0.097
Qwen2.5-VL-32B,maori,90-100%,100,100,0.16,-0.128
Qwen2.5-VL-32B,kaumatua,0-10%,100,100,0.18,0.044
Qwen2.5-VL-32B,kaumatua,10-20%,100,100,0.16,0.0495
Qwen2.5-VL-32B,kaumatua,20-30%,100,100,0.29,0.076
Qwen2.5-VL-32B,kaumatua,30-40%,100,100,0.6,0.207
Qwen2.5-VL-32B,kaumatua,40-50%,100,100,0.03,0.0
Qwen2.5-VL-32B,kaumatua,50-60%,100,100,0.09,-0.0075
Qwen2.5-VL-32B,kaumatua,60-70%,100,100,0.0,-0.023
Qwen2.5-VL-32B,kaumatua,70-80%,100,100,0.05,-0.0455
Qwen2.5-VL-32B,kaumatua,80-90%,100,100,0.3,-0.108
Qwen2.5-VL-32B,kaumatua,90-100%,100,100,0.2,-0.1125
